   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 490,         57908,           57425,          66133,      3749,           0,       3607
 491,         58281,           57797,          66436,      3774,           0,       3517
 492,         58762,           58277,          66914,      3774,           0,       3509
 493,         59007,           58521,          67214,      3781,           0,       3543
 494,         59048,           58561,          70267,      3788,           0,       3540
 495,         59234,           58746,          67095,      3808,           0,       3576
 496,         59578,           59089,          68709,      3811,           0,       3575
 497,         59838,           59348,          67214,      3820,           0,       3900
 498,         60039,           59548,          67769,      3832,           0,       3605
 499,         60278,           59786,          68711,      3841,           0,       3579
 500,         60441,           59948,          73854,      3855,           0,       3649
 501,         60642,           60148,          74666,      3863,           0,       4592
 502,         61134,           60639,         105135,      3858,           0,       5592
 503,              ,                ,               ,      3868,           0,       5892
 504,              ,                ,               ,      3903,           0,       8213
 505,              ,                ,               ,      3906,           0,       7072
 506,              ,                ,               ,      3910,           0,       4963
 507,              ,                ,               ,      3905,           0,       6982
 508,              ,                ,               ,      3924,           0,       4755
 509,              ,                ,               ,      3928,           0,       3988
 510,              ,                ,               ,      3939,           0,       4657
 511,              ,                ,               ,      3935,           0,       3927
 512,              ,                ,               ,      3957,           0,       6594
 513,              ,                ,               ,      3967,           0,       4287
 514,              ,                ,               ,      3979,           0,      10450
 515,              ,                ,               ,      3997,           0,      24794
 516,              ,                ,               ,      3991,           0,      14209
 517,              ,                ,               ,      4008,           0,      16280
 518,              ,                ,               ,      4018,           0,       7858
 519,              ,                ,               ,      4024,           0,      11010
 520,              ,                ,               ,      4015,           0,      11991
 521,              ,                ,               ,      4028,           0,      10702
 522,              ,                ,               ,      4042,           0,       6584
 523,              ,                ,               ,      4058,           0,       6700
 524,              ,                ,               ,      4070,           0,      10068
 525,              ,                ,               ,      4086,           0,       9620
 526,              ,                ,               ,      4087,           0,      77567
 527,              ,                ,               ,      4100,           0,       6148
 528,              ,                ,               ,      4103,           0,      10402
 529,              ,                ,               ,      4116,           0,       4108
 530,              ,                ,               ,      4132,           0,       3978
 531,              ,                ,               ,      4132,           0,      13245
 532,              ,                ,               ,      4135,           0,       3907
 533,              ,                ,               ,      4146,           0,       6053
 534,              ,                ,               ,      4160,           0,       4691
 535,              ,                ,               ,      4176,           0,       3918
 536,              ,                ,               ,      4162,           0,       5070
 537,              ,                ,               ,      4173,           0,       5094
 538,              ,                ,               ,      4179,           0,       3930
 539,              ,                ,               ,      4204,           0,       3957
 540,              ,                ,               ,      4225,           0,       9269
 541,              ,                ,               ,      4236,           0,       4032
 542,              ,                ,               ,      4244,           0,       6366
 543,              ,                ,               ,      4244,           0,       5049
 544,              ,                ,               ,      4273,           0,       4005
 545,              ,                ,               ,      4283,           0,       4108
 546,              ,                ,               ,      4272,           0,       5532
 547,              ,                ,               ,      4293,           0,       4037
 548,              ,                ,               ,      4299,           0,       4089
 549,              ,                ,               ,      4307,           0,       5186
 550,              ,                ,               ,      4323,           0,       4609
 551,              ,                ,               ,      4328,           0,       4066
 552,              ,                ,               ,      4334,           0,       4507
 553,              ,                ,               ,      4342,           0,       6012
 554,              ,                ,               ,      4348,           0,       4103
